currency,asset,strategy,profit[%],market change[%],wins[%],best win,worst loss,avg HODL[min],candleSize,historySize,trades,dataset from,to,strategy settings,note
USDT,BTC,MACD 15|27|12,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 27 short = 12 signal = 15 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 9|27|18,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 27 short = 18 signal = 9 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 13|23|20,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 23 short = 20 signal = 13 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 14|29|11,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 29 short = 11 signal = 14 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 15|23|11,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 23 short = 11 signal = 15 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 10|23|11,1.26,3.80,0.00,-1.19,-1.19,570,10,73,3,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 23 short = 11 signal = 10 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 13|29|12,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 29 short = 12 signal = 13 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 10|26|11,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 26 short = 11 signal = 10 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 9|29|20,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 29 short = 20 signal = 9 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 11|30|17,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 30 short = 17 signal = 11 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 12|25|16,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 25 short = 16 signal = 12 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
